id,scenario,video_uid,clip_uid,annotation_uid,query_idx,clip_start_sec,clip_end_sec,mIoU,query,Answer
1,"Carpenter
Fixing something in the home
Talking with family members",fffbaeef-577f-45f0-baa9-f10cabf62dfb,07cc6e65-df8c-46fb-b4be-b808d777454f,efa2bedf-3eb9-43c3-9581-da4a64922820,1,87.98,126.94,0.89,In what location did I see the laptop?,on the desk
2,Car mechanic,805989f6-0696-4de2-ad9b-0f194e0ac48d,eaf8d34a-0e20-45d0-a288-569df047461e,450c2f2b-5172-4d6f-91fa-495c7f1fb986,6,454.67,480.03,0.78,How many drawers did I open?,8
3,Baker,53da674a-089d-428a-a719-e322b2de002b,9ab5fd9f-77e4-4438-a546-a4b6ed889f1a,0139f386-6dc6-4aad-a150-dc6745338445,1,78.80,110.05,0.72,What did I put in the dough?,egg
4,Grocery shopping indoors,67cb31ac-4f88-4765-8806-d93276eda28a,f0dc57b0-e2a0-4b3b-8509-790fc888a36f,a6cd5d8f-1de0-4c51-bc5a-1d2c2d7fb086,1,268.71,306.36,0.70,who did I talk to at the clothes store?,the cashier
5,Baker,53da674a-089d-428a-a719-e322b2de002b,59c01c97-9312-47f8-b911-dd789978714b,7f82729b-db06-4e3e-8a4f-2e345a7366b6,2,108.86,137.89,0.61,How many trays of pastries did I take from the oven?,3
6,Cleaning / laundry,0de39e75-fb19-47d4-818d-fff874b05ab9,eaa17b24-b9df-468e-b682-6fabc0ff4408,0a2b574a-983d-4ef3-9f53-3a1c439eaa90,4,8.84,17.44,0.60,What did I put in the kettle?,water
7,Cooking,90a0cc01-f498-490a-bda1-01ad94db2946,bbd99850-bcb0-460e-8a40-056f1e618f88,bf881c93-b0b7-40fc-8876-6ea5a37285f1,0,24.00,97.00,0.60,how many slices of bread did I spread with butter.,12
8,Outdoor cooking,182dffe9-d2bf-4a7d-b1d8-137470f0143d,cab983c1-d36e-4afa-8116-1e2bde4a4a4c,8bca6b25-cac7-4947-9cf0-2254113e8697,4,190.04,206.96,0.59,What vegetable did i chop on the chopping board?,scallions
9,Cooking,224c3de4-9683-462a-8eb4-224773425a7e,2276090d-3aab-4a4f-afbe-dcc083604160,260cbcea-d2a7-4c11-b944-4ed391a57606,6,42.06,55.84,0.59,What did I add to the food?,kimchi
10,"jobs related to construction/renovation company (Director of work, tiler, plumber, Electrician, Handyman, etc)",0971527a-6cd3-4c82-9d94-09b3565f4505,755ac5c3-b6cd-42da-ac72-c413d0be986a,f35a2b55-622a-433e-a218-90769e474831,2,0.00,11.00,0.57,In what location did I see a carton?,on the shelf
11,"Car - commuting, road trip
Household management - caring for kids
Indoor Navigation (walking)
Listening to music
Talking with family members
Visiting exhibition
Walking on street",4335b0cc-e10c-45df-aad3-a1fa66b7a7a8,56ee70c6-558b-4ca6-b8e4-d28be7c98517,38910a69-1952-485c-8763-7018951c1d5d,8,970.91,1003.91,0.57,what bottle did I pick?,a plastic bottle
12,"Cleaning / laundry
Fixing something in the home",d526d862-080f-4b3e-9894-6ff997f5d6ac,b69e6150-0309-4202-bf4a-9a342f80d6d7,cfa46eb6-259c-4591-8e1e-0c748dd68bad,1,23.95,27.23,0.23,What color is the colander?,white
13,Baker,53da674a-089d-428a-a719-e322b2de002b,39ec61c9-8725-47dc-8a18-f00e27b8ab2c,8d6624bd-a645-47e1-b729-a468ce3a4d64,6,389.82,412.37,0.55,Did I weigh the sugar?,yes
14,Cooking,4480f4ee-d218-41bd-8cdf-a7cbe13b61a0,45d01186-d09a-408c-a00d-481a2d8d9749,e1c56ec0-9d21-4319-bb33-a774545bdd9e,4,162.63,172.63,0.55,what napkin did I clean my hands with?,with the blue 
15,"Cleaning / laundry
Crafting/knitting/sewing/drawing/painting
Household management - caring for kids
Indoor Navigation (walking)
Talking with family members
Watching tv",584f625d-15b0-49e8-bfa6-718b9cf010e0,5726971c-b3cc-43ed-8071-f6ee143e417d,1a039f8c-10c1-4740-8fb4-f4e9120d533e,0,8.60,131.60,0.54,What cloth did I wash?,a pair of socks
16,Cooking,a4728450-c05c-4d51-91e4-348f571d74bc,3231822a-fc8b-4207-b0b8-5cbb1344cb2f,a89efc9c-f6bb-472a-a8c6-bdae52f82638,0,8.97,17.51,0.54,What kitchen tool did I cut the springer onions with?,a knife
17,Baker,3534864b-2289-4aaf-b3ed-10eeeee7acd2,da074982-6ab1-4d82-a35b-20d08e9bbe0b,f97483e6-04c9-441a-9487-67348e976999,1,10.15,22.41,0.54,Where was the tray before I carried it?,in the rack
18,"Carpenter
Fixing something in the home
Talking with family members",fffbaeef-577f-45f0-baa9-f10cabf62dfb,07cc6e65-df8c-46fb-b4be-b808d777454f,efa2bedf-3eb9-43c3-9581-da4a64922820,0,11.84,86.08,0.53,Who did I interact with at the apartment?,woman X
19,Cooking,ee401f80-7732-4f67-a9bb-0c1e58b40b84,584e542e-1968-4cb8-bd34-aebe80faffdf,364fcd89-9a8e-4208-aa75-8649f37d8534,3,209.43,224.43,0.53,Did I wash the green pepper?,yes
20,Cooking,404cc1c1-f7a0-4e16-9a39-b8e2d5d9ae59,1c597fc1-7bd0-4325-abbc-645e3ec71866,91c2e888-87a8-4611-af64-41daaf4b4cbd,0,233.00,240.00,0.52,How many plates did i take from the top shelf?,two
21,"jobs related to construction/renovation company (Director of work, tiler, plumber, Electrician, Handyman, etc)",0c6ab491-c45e-4cbc-b6b2-a709cc856a9c,7c34ddc3-9bd7-4266-b6e8-173b7392e49c,55bc7494-95ef-4e47-87db-9529b298c1ef,3,329.61,348.00,0.51,Did I leave the door open?,yes
22,Car mechanic,805989f6-0696-4de2-ad9b-0f194e0ac48d,eaf8d34a-0e20-45d0-a288-569df047461e,450c2f2b-5172-4d6f-91fa-495c7f1fb986,3,194.80,218.19,0.48,What rag did I use to clean the carburetor?,the gray one
23,"Cleaning / laundry
Indoor Navigation (walking)",512db5d5-6aa3-4777-a1ba-1ea1718db929,1c865785-9ac6-4f16-baa4-97405aacad6a,b276bc56-afeb-4bc8-8855-73827e597ee3,8,322.14,452.00,0.47,where did l wash the utensils,in the kitchen sink
24,Cooking,145881ef-5578-460d-bb5a-6fb80ef7d457,eb9c6cc3-8192-4c28-96cd-df5ac1812e3e,70233dd6-95d2-4b5a-93ec-0212819ca311,0,6.75,10.16,0.47,Where is the blue chair?,outside the kitchen
25,Carpenter,a850112c-68e3-45d7-9fc0-9ada21e970a4,a3aea4be-3594-4372-98d7-cfbb9cc06170,a657d6dc-c63c-436a-9a68-ece04c4b4e99,4,459.41,468.29,0.44,In what spot did I see the bag?,on top of the wooden pieces
26,Making coffee,35d92405-7ebf-4e54-8b9a-7cce8af30a79,84aae2af-1a45-4e2a-ac52-eb7aeffe212d,38354dcf-ba90-47aa-a75e-807ba6bb43fb,1,84.81,94.13,0.42,who did I talk to in the study room?,a man with dark glasses
27,Cooking,eb0d2a52-678c-4e23-8d6c-3c7a4fd86098,c96cc4a2-0e82-4c79-b34f-c5b853cd3ab2,7d065fba-8547-46e9-b968-97b02db4a656,5,374.22,386.22,0.40,where did I last saw my wrapper?,next to the window
28,Walking on street,115774b6-534d-444f-b7aa-d1b834eb0ee7,75958c37-1002-4b2d-a455-168b0ebcaf8a,69ba2583-8c8b-41e0-8294-a7f61a71727e,4,147.31,154.31,0.48,What color is the cloth i folded?,white
29,Cooking,210b5b51-6dae-43b2-9cf8-28e04a785f18,93ca6e76-2409-41f7-be7c-28f457f04f57,f8632640-58bf-4a4b-89be-3c8ed0cb07f8,3,287.29,287.29,0.38,what did I put in a microwave?,rice
30,Carpenter,477feff8-a1ff-4f43-b726-273ca0fa47e9,61de3e3f-8862-4d68-ab4a-2a26e81916d1,0d83a02d-0ed0-439a-98b6-5b9d479f8880,0,427.21,434.00,0.37,where was the phone before I picked it?,inside the pocket
31,"jobs related to construction/renovation company (Director of work, tiler, plumber, Electrician, Handyman, etc)",80f3dd0d-6ad9-4691-9de5-dc01a834bc0a,2bbc6cdf-b662-498e-9a9f-231dd5ac2a9e,efa7da94-3c84-48d3-a8cf-d9bc0ba377da,3,166.37,170.37,0.37,What beverage did I drink?,pepsi
